Setting:0_0.99_256_0.001_0.1, Correct: 248, KNN: 0.33, Path: 14.41
Setting:10_0.99_256_1e-05_0.05, Correct: 187, KNN: 0.38, Path: 16.10
Setting:10_0.99_128_1e-05_0.2, Correct: 22, KNN: 0.21, Path: 9.59
Setting:10_0.99_256_1e-05_0.2, Correct: 107, KNN: 0.28, Path: 12.28
Setting:10_0.99_128_1e-05_0.05, Correct: 120, KNN: 0.40, Path: 16.91
Setting:10_0.99_256_1e-05_0.1, Correct: 111, KNN: 0.15, Path: 7.01


Setting:100_0.99_128_0.001_0.05, Correct: 30, KNN: 0.51, Path: 21.33
Setting:100_0.99_128_0.0001_0.2, Correct: 109, KNN: 0.29, Path: 12.77
Setting:100_0.99_128_0.001_0.2, Correct: 1, KNN: 0.03, Path: 2.00
Setting:100_0.99_128_0.0001_0.05, Correct: 77, KNN: 0.25, Path: 10.90
Setting:100_0.99_128_0.0001_0.1, Correct: 77, KNN: 0.39, Path: 16.55
Setting:100_0.99_128_0.001_0.1, Correct: 50, KNN: 0.37, Path: 15.88
Setting:100_0.99_256_0.001_0.05, Correct: 1, KNN: 0.00, Path: 1.00
Setting:100_0.99_256_0.0001_0.2, Correct: 67, KNN: 0.40, Path: 16.82
Setting:100_0.99_256_0.0001_0.1, Correct: 61, KNN: 0.31, Path: 13.59
Setting:100_0.99_256_0.001_0.1, Correct: 43, KNN: 0.32, Path: 13.74
Setting:100_0.99_256_0.0001_0.05, Correct: 33, KNN: 0.12, Path: 5.88
Setting:100_0.99_256_0.001_0.2, Correct: 15, KNN: 0.39, Path: 16.80
Avg. above = 47 (much better than sampling full space - 31.3)
Setting:100_0.99_256_1e-05_0.2, Correct: 10, KNN: 0.23, Path: 10.20
Setting:100_0.99_128_1e-05_0.05, Correct: 29, KNN: 0.20, Path: 9.10
Setting:100_0.99_256_1e-05_0.1, Correct: 107, KNN: 0.29, Path: 12.43
Setting:100_0.99_128_1e-05_0.1, Correct: 136, KNN: 0.41, Path: 17.25     # (highest validity - used in paper)
Setting:100_0.99_256_1e-05_0.05, Correct: 84, KNN: 0.35, Path: 14.85
Setting:100_0.99_128_1e-05_0.2, Correct: 22, KNN: 0.20, Path: 8.82

# Total datapoints = 257. This line is a comment which pandas can detect. 
