age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,target
38,2,65324,9,1,3,1,0,0,0,0,40,0,1
56,1,335605,8,1,4,1,0,0,0,1887,50,8,1
28,2,377869,12,1,5,2,0,1,4064,0,25,0,0
36,2,102864,8,0,8,3,0,1,0,0,40,0,0
53,2,95647,4,1,2,1,0,0,0,0,50,0,0
56,5,303090,12,1,5,1,0,0,0,0,50,0,0
49,4,197371,11,1,10,1,1,0,0,0,40,0,1
55,2,247552,12,1,5,1,0,0,0,0,56,0,0
22,2,102632,8,0,10,0,0,0,0,0,41,0,0
21,2,199915,12,0,4,3,0,1,0,0,40,0,0
40,2,118853,13,1,1,1,0,0,0,0,60,0,0
30,2,77143,13,0,1,3,1,0,0,0,40,9,0
29,0,267989,13,1,3,1,0,0,0,0,50,0,1
19,2,301606,12,0,4,3,1,0,0,0,35,0,0
47,2,287828,13,1,1,2,0,1,0,0,40,0,1
20,2,111697,12,0,0,3,0,1,0,1719,28,0,0
31,2,114937,10,1,0,1,0,0,0,0,40,0,1
39,2,365739,12,2,10,0,0,0,0,0,40,0,0
28,2,69621,10,0,5,0,0,1,0,0,60,0,0
24,2,43323,8,0,4,0,0,1,0,1762,40,0,0
38,1,120985,8,1,10,1,0,0,4386,0,35,0,0
37,2,254202,13,1,5,1,0,0,0,0,50,0,0
46,2,146195,10,2,9,0,1,1,0,0,36,0,0
38,3,125933,14,1,3,1,0,0,0,0,40,10,1
43,1,56920,8,1,10,1,0,0,0,0,60,0,0
27,2,163127,11,1,0,2,0,1,0,0,35,0,0
20,2,34310,12,0,5,3,0,0,0,0,20,0,0
49,2,81973,12,1,10,1,2,0,0,0,40,0,1
61,5,66614,8,1,10,1,0,0,0,0,40,0,0
27,2,232782,12,0,5,3,0,1,0,0,40,0,0
19,2,316868,12,0,4,3,0,0,0,0,30,4,0
45,2,196584,11,0,3,0,0,1,0,1564,40,0,1
70,2,105376,12,0,9,5,0,0,0,0,40,0,0
31,2,185814,8,0,6,4,1,1,0,0,30,0,0
22,2,175374,12,1,4,1,0,0,0,0,24,0,0
36,2,108293,8,6,4,4,0,1,0,0,24,0,0
64,2,181232,6,1,10,1,0,0,0,2179,40,0,0
47,4,186009,12,2,0,4,0,1,0,0,38,4,0
34,2,198183,8,0,0,0,0,1,0,0,40,0,0
33,2,163003,13,0,1,5,2,1,0,0,40,11,0
21,2,296158,8,0,10,3,0,0,0,0,35,0,0
48,2,187715,8,1,10,1,0,0,0,0,46,0,0
23,2,214542,13,0,2,0,0,0,0,0,40,0,0
71,1,494223,12,4,5,4,1,0,0,1816,2,0,0
29,2,191535,8,2,10,0,0,0,0,0,60,0,0
42,2,228456,13,4,4,5,1,0,0,0,50,0,0
25,2,252752,8,0,4,4,0,1,0,0,40,0,0
44,5,78374,14,2,1,4,2,1,0,0,40,0,0
28,2,88419,8,0,1,0,2,1,0,0,40,7,0
45,1,201080,14,1,5,1,0,0,0,0,40,0,1
36,2,207157,12,2,4,4,0,1,0,0,40,4,0
39,3,235485,10,0,1,0,0,0,0,0,42,0,0
46,0,102628,14,6,11,4,0,0,0,0,40,0,0
18,2,25828,6,0,2,3,0,0,0,0,16,0,0
66,4,54826,11,6,3,0,0,1,0,0,20,0,0
27,2,124953,8,0,4,0,0,0,0,1980,40,0,0
28,0,175325,8,1,11,1,0,0,0,0,40,0,0
51,2,96062,12,1,5,1,0,0,0,1977,40,0,1
27,2,428030,13,0,10,0,0,0,0,0,50,0,0
28,0,149624,13,1,3,1,0,0,0,0,40,0,1
27,2,253814,8,3,5,4,0,1,0,0,25,0,0
21,2,312956,8,0,10,3,1,0,0,0,40,0,0
34,2,483777,8,0,2,0,1,0,0,0,40,0,0
18,2,183930,8,0,4,3,0,0,0,0,12,0,0
33,2,37274,13,1,3,1,0,0,0,0,65,0,0
44,4,181344,12,1,1,1,1,0,0,0,38,0,1
43,2,114580,12,2,0,0,0,1,0,0,40,0,0
30,2,633742,12,0,10,0,1,0,0,0,45,0,0
40,2,286370,3,1,8,1,0,0,0,0,40,4,1
37,3,29054,12,1,0,1,0,0,0,0,42,0,1
34,2,304030,8,1,0,1,1,0,0,0,40,0,0
41,1,143129,13,2,1,0,0,1,0,0,40,0,0
31,2,99928,14,1,3,2,0,1,0,0,50,0,0
58,0,109567,15,1,3,1,0,0,0,0,1,0,1
38,2,155222,12,2,8,0,1,1,0,0,28,0,0
24,2,159567,12,1,8,1,0,0,0,0,40,0,0
41,4,523910,13,1,10,1,1,0,0,0,40,0,0
47,2,120939,12,1,9,1,0,0,0,0,45,0,0
41,3,130760,13,1,9,1,0,0,0,0,24,0,0
23,2,197387,2,1,6,5,0,0,0,0,40,4,0
36,2,99374,12,2,10,0,0,0,0,0,40,0,0
40,3,56795,14,0,1,0,0,1,14084,0,55,0,1
35,2,138992,14,1,3,5,0,0,7298,0,40,0,1
24,1,32921,8,0,5,0,0,0,0,0,40,0,0
26,2,397317,14,0,3,0,0,1,0,1876,40,0,0
51,2,259323,13,1,1,1,0,0,0,0,50,0,1
42,4,254817,12,0,3,0,0,1,0,1340,40,0,0
37,0,48211,8,2,0,4,0,1,0,0,35,0,0
18,2,140164,6,0,5,3,0,1,0,0,40,0,0
36,2,128757,13,1,4,1,1,0,7298,0,36,0,1
35,2,36270,8,2,10,0,0,0,0,0,60,0,0
58,5,210563,8,1,5,2,0,1,15024,0,35,0,1
17,2,65368,6,0,5,3,0,1,0,0,12,0,0
44,4,160943,8,1,6,1,1,0,0,0,40,0,0
37,2,208358,8,1,10,1,0,0,0,0,40,0,1
35,2,153790,12,0,5,0,3,1,0,0,40,0,0
60,2,85815,8,1,10,1,2,0,0,0,40,0,0
54,5,125417,3,1,8,1,0,0,0,0,40,0,1
37,2,635913,13,0,1,0,1,0,0,0,60,0,1
50,2,313321,10,2,5,0,0,1,0,0,40,0,0
38,2,182609,13,1,5,1,0,0,0,0,50,12,0
45,2,109434,13,1,3,1,0,0,0,0,55,0,0
25,2,255004,5,0,10,0,0,0,0,0,40,0,0
31,2,197860,12,1,2,1,0,0,0,0,40,0,0
90,2,51744,8,0,4,0,1,0,0,2206,40,0,0
54,2,176681,8,1,0,1,1,0,0,0,20,0,0
53,4,140359,0,0,8,0,0,1,0,0,35,0,0
18,2,243313,8,0,5,3,0,1,0,0,40,0,0
66,1,167687,8,1,7,1,0,0,1409,0,50,0,0
75,2,314209,11,6,0,0,0,1,0,0,20,13,0
65,2,176796,8,2,0,0,0,1,0,0,40,0,0
35,2,538583,6,4,6,0,1,0,3674,0,40,0,0
41,2,130408,8,2,5,4,1,1,0,0,38,0,0
25,2,159732,12,0,0,0,0,0,0,0,42,0,0
33,2,110978,12,2,10,5,4,1,0,0,40,0,0
28,2,76714,9,0,3,0,0,0,0,0,55,0,1
59,0,268700,8,1,4,1,0,0,0,0,40,0,0
40,0,170525,12,0,0,0,0,1,0,0,38,0,0
41,2,180138,13,1,1,1,0,0,0,0,50,10,1
38,4,115076,14,1,1,1,0,0,0,0,70,0,1
23,2,115458,8,0,6,3,0,0,0,0,40,0,0
40,2,347890,13,1,3,1,0,0,0,0,40,0,1
41,1,196001,8,1,4,2,0,1,0,0,20,0,0
24,0,273905,10,1,11,1,0,0,0,0,50,0,0
38,2,179488,12,2,10,0,0,0,0,1741,40,0,0
58,2,236596,8,1,0,1,0,0,0,0,45,0,1
32,2,183916,8,0,4,0,0,1,0,0,34,0,0
40,2,207578,10,1,9,1,0,0,0,1977,60,0,1
41,2,112763,9,1,3,2,0,1,0,0,40,0,1
42,2,390781,13,1,0,2,1,1,0,0,40,0,0
59,4,171328,5,6,4,4,1,1,0,0,30,0,0
19,4,27382,12,0,0,3,0,0,0,0,40,0,0
58,2,259014,12,0,6,0,0,0,0,0,20,0,0
42,1,303044,8,1,7,1,2,0,0,0,40,14,1
20,2,117789,8,0,4,3,0,1,0,0,40,0,0
32,2,172579,8,4,4,0,0,1,0,0,30,0,0
45,2,187666,11,6,1,0,0,1,0,0,45,0,0
50,2,204518,3,2,10,0,0,0,0,0,40,0,0
36,2,150042,13,2,3,3,0,1,0,0,40,0,0
45,2,98092,8,1,5,1,0,0,0,0,60,0,0
17,2,245918,6,0,4,3,0,0,0,0,12,0,0
59,2,146013,12,1,5,1,0,0,4064,0,40,0,0
26,2,378322,6,1,10,1,0,0,0,0,40,0,0
37,5,257295,12,1,1,1,2,0,0,0,75,15,1
64,2,21174,8,1,1,1,0,0,0,0,40,0,1
33,2,185480,13,0,3,0,0,1,0,0,45,0,0
33,2,222205,8,1,10,2,0,1,0,0,40,0,1
61,2,69867,8,1,1,1,0,0,0,0,40,0,1
17,2,191260,4,0,4,3,0,0,1055,0,24,0,0
50,1,30653,14,1,7,1,0,0,2407,0,98,0,0
27,4,209109,14,0,3,3,0,0,0,0,35,0,0
30,2,70377,8,2,3,3,0,1,0,0,40,0,0
43,2,477983,8,1,2,1,1,0,0,0,40,0,0
44,2,170924,12,1,10,1,0,0,7298,0,40,0,1
35,2,190174,12,0,1,0,0,1,0,0,40,0,0
25,2,193787,12,0,9,3,0,1,0,0,40,0,0
24,2,279472,12,1,8,2,0,1,7298,0,48,0,1
22,2,34918,13,0,3,0,0,1,0,0,15,9,0
42,4,97688,12,1,10,1,0,0,5178,0,40,0,1
34,2,175413,10,2,5,4,1,1,0,0,45,0,0
60,2,173960,13,2,3,0,0,1,0,0,42,0,0
21,2,205759,8,0,2,3,0,0,0,0,40,0,0
57,3,425161,14,1,5,1,0,0,15024,0,40,0,1
41,2,220531,9,1,3,1,0,0,0,0,60,0,1
50,2,176609,12,2,4,0,0,0,0,0,45,0,0
25,2,371987,13,0,1,0,0,1,0,0,40,0,0
50,2,193884,3,1,10,1,0,0,0,0,40,16,0
36,2,200352,13,1,3,1,0,0,0,0,45,0,0
31,2,127595,8,2,3,0,0,1,0,0,40,0,0
29,4,220419,13,0,11,0,0,0,0,0,56,0,0
21,2,231931,12,0,5,3,0,0,0,0,45,0,0
27,2,248402,13,0,9,4,1,1,0,0,40,0,0
65,2,111095,8,1,6,1,0,0,0,0,16,0,0
37,5,57424,13,2,5,0,0,1,0,0,60,0,0
24,2,278130,8,0,10,3,0,0,0,0,40,0,0
38,2,169469,8,2,5,0,0,0,0,0,80,0,0
48,2,146268,13,1,0,1,0,0,7688,0,40,0,1
21,2,153718,12,0,4,0,2,1,0,0,25,0,0
31,2,217460,8,1,6,1,0,0,0,0,45,0,1
55,2,238638,8,1,5,1,0,0,4386,0,40,0,1
24,2,303296,12,1,0,2,2,1,0,0,40,17,0
43,2,173321,8,2,0,0,0,1,0,0,40,0,0
26,2,193945,10,0,9,0,0,0,0,0,45,0,0
46,2,83082,10,0,3,0,0,1,0,0,33,0,0
35,2,193815,10,1,0,1,0,0,0,0,40,0,1
41,5,34987,12,1,7,1,0,0,0,0,54,0,1
26,2,59306,13,0,5,0,0,0,0,0,40,0,0
34,2,142897,14,1,1,1,2,0,7298,0,35,18,1
36,1,205607,13,2,3,0,1,1,0,0,40,0,1
22,2,199698,12,0,5,3,0,0,0,0,15,0,0
24,2,191954,12,0,8,0,0,0,0,0,40,0,0
77,1,138714,12,1,5,1,0,0,0,0,40,0,0
22,2,399087,2,1,8,5,0,1,0,0,40,4,0
29,2,423158,12,0,9,0,0,1,0,0,40,0,0
62,2,159841,8,6,4,0,0,1,0,0,24,0,0
39,1,174308,8,1,1,1,0,0,0,0,40,0,0
43,2,50356,12,1,10,1,0,0,0,1485,50,0,0
35,2,186110,8,2,6,0,0,0,0,0,45,0,0
29,2,200381,6,0,1,0,0,1,0,0,40,0,0
76,1,174309,14,1,10,1,0,0,0,0,10,0,0
63,1,78383,8,1,7,1,0,0,0,0,45,0,0
43,2,187728,12,1,3,2,0,1,0,1887,50,0,1
58,1,321171,8,1,2,1,0,0,0,0,40,0,0
66,2,127921,8,0,6,0,0,0,2050,0,55,0,0
41,2,206565,12,0,10,0,1,0,0,0,45,0,0
26,2,224563,13,0,0,0,0,0,0,0,40,0,0
47,2,178686,11,0,4,0,0,0,0,0,40,0,0
55,4,98545,5,1,0,1,0,0,0,0,40,0,0
53,2,242606,8,1,6,1,0,0,0,0,40,0,0
17,2,270942,2,0,4,5,0,0,0,0,48,4,0
30,2,94235,8,0,10,5,0,0,0,0,40,0,0
49,2,71195,14,0,3,0,0,0,0,0,60,0,0
19,2,104112,8,0,5,4,1,0,0,0,30,19,0
45,2,261192,8,1,4,1,1,0,0,0,40,0,0
26,2,94936,10,0,5,0,0,0,0,0,40,0,0
38,2,296478,11,1,10,1,0,0,7298,0,40,0,1
36,0,119272,8,1,11,1,0,0,7298,0,40,0,1
33,2,85043,8,0,7,0,0,0,0,0,20,0,0
22,0,293364,12,0,11,3,1,1,0,0,40,0,0
43,1,241895,13,0,5,0,0,0,0,0,42,0,0
56,2,101128,10,3,4,0,0,0,0,0,25,10,0
31,2,156464,13,0,3,3,0,0,0,0,25,0,0
33,2,117963,13,1,1,1,0,0,0,0,40,0,1
26,2,192262,8,1,4,1,0,0,0,0,40,0,0
33,2,111363,13,1,1,1,0,0,0,0,40,0,1
46,4,329752,6,1,6,1,0,0,0,0,30,0,0
38,3,95432,8,1,0,1,0,0,0,0,40,0,1
65,2,161400,6,6,4,4,4,0,0,0,40,0,0
40,2,96129,11,1,9,1,0,0,0,0,40,0,1
42,2,111949,8,1,0,2,0,1,0,0,35,0,0
26,1,117125,4,1,10,1,0,0,0,0,40,20,0
36,2,348022,5,1,4,2,0,1,0,0,24,0,0
62,2,270092,14,1,3,1,0,0,0,0,40,0,1
43,2,180609,13,1,6,1,0,0,0,0,45,0,0
43,2,174575,13,2,1,0,0,0,0,1564,45,0,1
22,2,410439,8,3,5,0,0,0,0,0,55,0,0
28,2,92262,8,1,10,1,0,0,0,0,40,0,0
56,1,183081,12,1,5,1,0,0,0,0,45,0,0
22,2,362589,10,0,5,0,0,1,0,0,15,0,0
57,2,212448,13,2,1,0,0,1,0,0,45,0,1
39,2,481060,8,2,5,4,0,1,0,0,40,0,0
26,3,185885,12,0,0,4,0,1,0,0,15,0,0
17,2,89821,6,0,4,3,0,0,0,0,10,0,0
40,0,184018,11,1,8,1,0,0,0,0,38,0,1
45,2,256649,8,1,8,1,1,0,0,0,40,0,0
44,2,160323,8,0,10,0,1,0,0,0,40,0,0
20,4,350845,12,0,0,3,0,1,0,0,10,0,0
33,2,267404,8,1,10,2,0,1,0,0,40,0,0
23,2,35633,12,0,5,0,0,0,0,0,40,0,0
46,1,80914,14,2,1,0,0,0,0,0,30,0,0
38,2,172927,8,1,5,1,0,0,0,0,50,0,0
54,2,174319,8,2,6,0,0,0,0,0,40,0,0
46,2,214955,2,2,10,0,0,1,0,2339,45,0,0
25,2,344991,12,1,10,1,0,0,0,0,40,0,0
46,2,108699,12,2,5,0,0,1,0,0,40,0,0
36,4,117312,12,1,6,2,0,1,0,0,40,0,0
23,2,396099,8,0,4,0,0,1,0,0,25,0,0
29,2,134152,8,4,8,0,0,0,0,0,40,0,0
44,2,162028,12,1,0,2,0,1,0,2415,6,0,1
19,2,25429,12,0,0,3,0,1,0,0,16,0,0
19,2,232392,8,0,4,5,0,1,0,0,40,0,0
35,2,220098,8,1,4,2,0,1,0,0,40,0,1
27,2,301302,13,0,10,0,0,0,0,0,50,0,0
46,1,277946,10,4,10,0,0,0,0,0,40,0,0
34,2,196164,8,0,4,0,0,1,0,0,35,0,0
44,2,115562,12,1,9,1,0,0,0,0,40,0,0
45,2,96975,12,2,2,4,0,1,0,0,40,0,0
25,2,86872,13,1,1,1,0,0,0,0,55,0,1
52,5,132178,13,1,1,1,0,0,0,0,50,0,1
20,2,416103,12,0,2,3,0,0,0,0,40,0,0
28,2,108574,12,0,4,0,0,1,0,0,40,0,0
50,0,288353,13,1,11,1,0,0,0,0,40,0,1
34,2,227689,11,2,9,0,0,1,0,0,64,0,0
28,2,166481,3,1,2,1,4,0,0,2179,40,5,0
41,2,445382,14,1,1,1,0,0,0,1977,65,0,1
28,2,110145,8,1,0,1,0,0,0,0,40,0,0
46,1,317253,8,1,10,1,0,0,0,0,25,0,0
32,2,364657,12,1,1,1,0,0,0,0,50,0,0
41,4,42346,12,2,4,0,1,1,0,0,24,0,0
24,2,241951,8,0,2,4,1,1,0,0,40,0,0
33,2,118500,12,2,1,4,0,1,0,0,40,0,0
46,2,188386,15,1,1,1,0,0,15024,0,60,0,1
31,0,1033222,12,1,8,1,0,0,0,0,40,0,0
35,2,92440,7,2,10,0,0,0,0,0,50,0,1
52,2,190762,1,1,8,1,0,0,0,0,40,4,0
30,2,426017,6,0,4,3,0,1,0,0,19,0,0
34,4,243867,6,4,8,0,1,0,0,0,40,0,0
34,0,240283,8,2,6,4,0,1,0,0,40,0,0
20,2,61777,12,1,5,1,0,0,0,0,30,0,0
17,2,175024,6,0,2,3,0,0,2176,0,18,0,0
32,0,92003,13,1,1,2,0,1,0,0,40,0,1
29,2,188401,8,2,7,0,0,0,0,0,40,0,0
33,2,228528,5,0,10,4,0,1,0,0,35,0,0
25,2,133373,8,1,6,1,0,0,0,0,60,0,0
36,3,255191,14,0,3,0,0,0,0,1408,40,0,0
23,2,204653,8,0,2,0,0,0,0,0,72,21,0
63,5,222289,8,1,1,1,0,0,0,0,40,0,1
47,4,287480,14,1,3,1,0,0,0,0,40,0,0
40,1,204116,13,3,3,0,0,1,2174,0,40,0,0
30,2,29662,10,1,4,2,0,1,0,0,25,0,1
27,2,116358,12,0,10,3,2,0,0,1980,40,11,0
33,2,208405,14,1,3,1,0,0,0,0,50,0,1
34,4,284843,8,0,7,0,1,0,594,0,60,0,0
34,4,117018,12,0,11,0,0,1,0,0,40,0,0
23,2,81281,12,1,0,1,0,0,0,0,40,0,0
42,4,340148,12,1,0,2,0,1,0,0,40,0,0
29,2,363425,13,0,3,0,0,0,0,0,40,0,0
45,2,45857,8,2,0,0,0,1,0,0,28,0,0
24,3,191073,8,0,12,3,0,0,0,0,40,0,0
44,2,116632,12,1,3,1,0,0,0,0,40,0,1
27,2,405855,4,0,10,5,0,0,0,0,40,4,0
20,2,298227,12,0,5,0,0,0,0,0,35,0,0
44,2,290521,8,6,1,4,1,1,0,0,40,0,0
51,2,56915,8,1,10,1,3,0,0,0,40,0,0
20,2,146538,8,1,8,1,0,0,0,0,40,0,0
19,2,206399,8,0,8,3,1,1,0,0,40,0,0
45,5,197332,12,1,10,1,0,0,0,0,55,0,1
60,2,245062,8,1,10,1,0,0,0,0,40,0,1
44,1,234885,8,1,5,2,0,1,0,0,40,0,1
40,2,72887,11,1,8,1,2,0,0,0,40,0,1
30,2,180374,8,1,1,2,0,1,0,0,40,0,0
38,2,351299,12,1,6,1,1,0,0,0,50,0,0
23,2,54012,8,1,6,1,0,0,0,0,60,0,0
44,2,116632,10,0,7,3,0,0,0,0,40,0,0
54,4,288825,8,1,6,1,1,0,0,0,40,0,0
32,2,132601,13,1,3,1,0,0,0,0,50,0,0
50,2,193374,1,3,10,4,0,0,0,0,40,0,0
24,2,170070,13,0,9,0,0,1,0,0,20,0,0
37,2,126708,8,1,0,2,0,1,0,0,60,0,0
52,2,35598,8,2,6,4,0,0,0,0,40,0,0
38,2,33983,12,1,6,1,0,0,0,0,40,0,0
49,2,192776,14,1,1,1,0,0,0,1977,45,0,1
30,2,118551,13,1,9,2,0,1,0,0,16,0,1
60,2,201965,12,0,3,4,0,0,0,0,40,0,1
35,2,285020,8,0,10,0,0,0,0,0,40,0,0
30,2,303990,8,0,6,0,0,0,0,0,60,0,0
67,2,49401,11,2,4,0,0,1,0,0,24,0,0
46,2,279196,13,0,10,0,0,1,0,0,40,0,0
17,2,211870,4,0,4,0,0,0,0,0,6,0,0
22,2,281432,12,0,2,3,0,0,0,0,30,0,0
27,2,161155,5,0,4,0,0,0,0,0,40,0,0
23,2,197904,8,0,4,4,0,1,0,0,35,0,0
33,2,111746,10,1,10,1,0,0,0,0,45,20,0
43,1,170721,12,1,10,1,0,0,0,0,20,0,0
28,0,70100,13,0,3,0,0,0,0,0,20,0,0
41,2,193626,8,3,10,4,0,1,0,0,40,0,0
25,2,189775,12,3,0,3,1,1,0,0,20,0,0
59,4,286967,8,1,6,1,0,0,0,0,45,0,0
45,4,164427,13,2,3,4,0,1,0,0,40,0,0
38,2,91039,13,1,5,1,0,0,15024,0,60,0,1
40,2,347934,8,0,4,0,0,1,0,0,35,0,0
46,3,371373,8,2,0,0,0,0,0,0,40,0,0
35,2,32220,10,0,1,0,0,1,0,0,60,0,0
34,2,187251,8,2,3,4,0,1,0,0,25,0,0
33,2,178107,13,0,10,3,0,0,0,0,20,0,0
41,2,343121,8,2,0,4,0,1,0,0,36,0,0
20,2,262749,12,0,8,3,0,0,0,0,40,0,0
23,2,403107,2,0,4,3,0,0,0,0,40,22,0
26,2,64293,12,0,3,0,0,1,0,0,35,0,0
23,4,324960,8,0,7,0,0,0,0,0,40,12,0
62,4,114060,8,1,6,1,0,0,0,0,40,0,0
52,2,48925,12,1,0,1,0,0,0,0,40,0,0
58,2,180980,12,2,4,4,0,1,0,0,42,23,0
25,2,181054,13,0,5,0,0,1,0,0,40,0,0
24,2,388093,13,0,1,0,1,0,0,0,40,0,0
19,2,249609,12,0,11,3,0,0,0,0,8,0,0
43,2,112131,12,1,1,1,0,0,0,0,40,0,0
47,4,543162,8,4,0,4,1,1,0,0,40,0,0
39,2,91996,8,2,4,4,0,1,0,0,40,0,0
49,2,141944,11,3,2,4,0,0,0,1380,42,0,0
32,2,37070,11,0,10,0,0,0,0,0,45,0,0
34,2,337587,12,1,3,1,0,0,0,0,50,0,1
28,2,189346,8,2,10,0,0,0,0,0,45,0,0
25,2,267044,12,0,0,0,3,1,0,0,20,0,0
